Ngày 11/19/2023:
   Keyword 'việt_nam': 3.98%
   Keyword 'thủ_tướng': 2.11%
   Keyword 'mỹ': 2.11%
   Keyword 'thế_giới': 2.11%
   Keyword 'hà_nội': 1.87%
   Keyword 'chủ_tịch': 1.87%
   Keyword 'lai_châu': 1.64%
   Keyword 'trương_mỹ_lan': 1.41%
   Keyword 'openai': 1.41%
   Keyword 'việt': 1.41%
   Keyword 'bác_sĩ': 1.17%
   Keyword 'vạn_thịnh_phát': 1.17%
   Keyword 'nhà_giáo': 1.17%
   Keyword 'cuộc_đời': 1.17%
   Keyword 'nồng_độ': 1.17%
   Keyword 'kỷ_niệm': 1.17%
   Keyword 'california': 1.17%
   Keyword 'học_sinh': 1.17%
   Keyword 'tỉnh_uỷ': 1.17%
   Keyword 'giáo_dục': 1.17%
   Keyword 'quốc_tế': 1.17%
   Keyword 'công_trình': 1.17%
   Keyword 'ngân_hàng': 0.94%
   Keyword 'hoa_hậu': 0.94%
   Keyword 'nghệ_an': 0.94%
   Keyword 'tài_sản': 0.94%
   Keyword 'tuần_lễ': 0.94%
   Keyword 'tuần_lễ_apec': 0.94%
   Keyword 'quốc_hội': 0.94%
   Keyword 'doanh_nghiệp': 0.94%
   Keyword 'nicaragua': 0.94%
   Keyword 'công_ty': 0.94%
   Keyword 'hạ_tầng': 0.94%
   Keyword 'thường_vụ': 0.94%
   Keyword 'nước_ngoài': 0.94%
   Keyword 'phụ_nữ': 0.94%
   Keyword 'hồ_sơ': 0.70%
   Keyword 'hoá_đơn': 0.70%
   Keyword 'điện_tử': 0.70%
   Keyword 'ung_thư': 0.70%
   Keyword 'xe_máy': 0.70%
   Keyword 'nhân_viên': 0.70%
   Keyword 'thị_trường': 0.70%
   Keyword 'thương_hiệu': 0.70%
   Keyword 'trung_quốc': 0.70%
   Keyword 'nga': 0.70%
   Keyword 'thành_viên': 0.70%
   Keyword 'học_trò': 0.70%
   Keyword 'công_nghệ': 0.70%
   Keyword 'dấu_hiệu': 0.70%
   Keyword 'lịch_sử': 0.70%
   Keyword 'đức': 0.70%
   Keyword 'cô_giáo': 0.70%
   Keyword 'bắc': 0.70%
   Keyword 'tài_chính': 0.70%
   Keyword 'học_viện': 0.70%
   Keyword 'lễ': 0.70%
   Keyword 'y_tế': 0.70%
   Keyword 'đà_nẵng': 0.70%
   Keyword 'thanh_niên': 0.70%
   Keyword 'hoàn_vũ': 0.70%
   Keyword 'gaza': 0.70%
   Keyword 'bệnh_viện': 0.70%
   Keyword 'cán_bộ': 0.70%
   Keyword 'cận_cảnh': 0.70%
   Keyword 'giao_thông': 0.70%
   Keyword 'trẻ_em': 0.70%
   Keyword 'khán_giả': 0.70%
   Keyword 'mặt_trời': 0.70%
   Keyword 'đàn_ông': 0.70%
   Keyword 'ấn_độ': 0.70%
   Keyword 'nhân_văn': 0.70%
   Keyword 'vĩnh_long': 0.70%
   Keyword 'bạo_lực': 0.70%
   Keyword 'vô_địch': 0.70%
   Keyword 'lâm_đồng': 0.70%
   Keyword 'xã_hội': 0.70%
   Keyword 'pháp': 0.47%
   Keyword 'đội_tuyển': 0.47%
   Keyword 'thời_hạn': 0.47%
   Keyword 'thai_sản': 0.47%
